,names,ascii,index,score
0,AARON,49,0,49
1,ABBEY,35,1,70
2,ABBIE,19,2,57
3,ABBY,30,3,120
4,ABDUL,40,4,200
5,ABE,8,5,48
6,ABEL,20,6,140
7,ABIGAIL,41,7,328
8,ABRAHAM,44,8,396
9,ABRAM,35,9,350
10,ADA,6,10,66
11,ADAH,14,11,168
12,ADALBERTO,78,12,1014
13,ADALINE,46,13,644
14,ADAM,19,14,285
15,ADAN,20,15,320
16,ADDIE,23,16,391
17,ADELA,23,17,414
18,ADELAIDA,37,18,703
19,ADELAIDE,41,19,820
20,ADELE,27,20,567
21,ADELIA,32,21,704
22,ADELINA,46,22,1058
23,ADELINE,50,23,1200
24,ADELL,34,24,850
25,ADELLA,35,25,910
26,ADELLE,39,26,1053
27,ADENA,25,27,700
28,ADINA,29,28,841
29,ADOLFO,53,29,1590
30,ADOLPH,56,30,1736
31,ADRIA,33,31,1056
32,ADRIAN,47,32,1551
33,ADRIANA,48,33,1632
34,ADRIANE,52,34,1820
35,ADRIANNA,62,35,2232
36,ADRIANNE,66,36,2442
37,ADRIEN,51,37,1938
38,ADRIENE,56,38,2184
39,ADRIENNE,70,39,2800
40,AFTON,56,40,2296
41,AGATHA,38,41,1596
42,AGNES,46,42,1978
43,AGNUS,62,43,2728
44,AGRIPINA,75,44,3375
45,AGUEDA,39,45,1794
46,AGUSTIN,91,46,4277
47,AGUSTINA,92,47,4416
48,AHMAD,27,48,1323
49,AHMED,31,49,1550
50,AI,10,50,510
51,AIDA,15,51,780
52,AIDE,19,52,1007
53,AIKO,36,53,1944
54,AILEEN,46,54,2530
55,AILENE,46,55,2576
56,AIMEE,33,56,1881
57,AISHA,38,57,2204
58,AJA,12,58,708
59,AKIKO,47,59,2820
60,AKILAH,42,60,2562
61,AL,13,61,806
62,ALAINA,38,62,2394
63,ALAINE,42,63,2688
64,ALAN,28,64,1820
65,ALANA,29,65,1914
66,ALANE,33,66,2211
67,ALANNA,43,67,2924
68,ALAYNA,54,68,3726
69,ALBA,16,69,1120
70,ALBERT,58,70,4118
71,ALBERTA,59,71,4248
72,ALBERTHA,67,72,4891
73,ALBERTINA,82,73,6068
74,ALBERTINE,86,74,6450
75,ALBERTO,73,75,5548
76,ALBINA,39,76,3003
77,ALDA,18,77,1404
78,ALDEN,36,78,2844
79,ALDO,32,79,2560
80,ALEASE,43,80,3483
81,ALEC,21,81,1722
82,ALECIA,31,82,2573
83,ALEEN,37,83,3108
84,ALEIDA,32,84,2720
85,ALEISHA,55,85,4730
86,ALEJANDRA,66,86,5742
87,ALEJANDRINA,89,87,7832
88,ALEJANDRO,80,88,7120
89,ALENA,33,89,2970
90,ALENE,37,90,3367
91,ALESHA,46,91,4232
92,ALESHIA,55,92,5115
93,ALESIA,47,93,4418
94,ALESSANDRA,94,94,8930
95,ALETA,39,95,3744
96,ALETHA,47,96,4559
97,ALETHEA,52,97,5096
98,ALETHIA,56,98,5544
99,ALEX,42,99,4200
100,ALEXA,43,100,4343
101,ALEXANDER,84,101,8568
102,ALEXANDRA,80,102,8240
103,ALEXANDRIA,89,103,9256
104,ALEXIA,52,104,5460
105,ALEXIS,70,105,7420
106,ALFONSO,82,106,8774
107,ALFONZO,89,107,9612
108,ALFRED,46,108,5014
109,ALFREDA,47,109,5170
110,ALFREDIA,56,110,6216
111,ALFREDO,61,111,6832
112,ALI,22,112,2486
113,ALIA,23,113,2622
114,ALICA,26,114,2990
115,ALICE,30,115,3480
116,ALICIA,35,116,4095
117,ALIDA,27,117,3186
118,ALINA,37,118,4403
119,ALINE,41,119,4920
120,ALISA,42,120,5082
121,ALISE,46,121,5612
122,ALISHA,50,122,6150
123,ALISHIA,59,123,7316
124,ALISIA,51,124,6375
125,ALISON,70,125,8820
126,ALISSA,61,126,7747
127,ALITA,43,127,5504
128,ALIX,46,128,5934
129,ALIZA,49,129,6370
130,ALLA,26,130,3406
131,ALLAN,40,131,5280
132,ALLEEN,49,132,6517
133,ALLEGRA,56,133,7504
134,ALLEN,44,134,5940
135,ALLENA,45,135,6120
136,ALLENE,49,136,6713
137,ALLIE,39,137,5382
138,ALLINE,53,138,7367
139,ALLISON,82,139,11480
140,ALLYN,64,140,9024
141,ALLYSON,98,141,13916
142,ALMA,27,142,3861
143,ALMEDA,36,143,5184
144,ALMETA,52,144,7540
145,ALONA,43,145,6278
146,ALONSO,76,146,11172
147,ALONZO,83,147,12284
148,ALPHA,38,148,5662
149,ALPHONSE,90,149,13500
150,ALPHONSO,100,150,15100
151,ALTA,34,151,5168
152,ALTAGRACIA,73,152,11169
153,ALTHA,42,153,6468
154,ALTHEA,47,154,7285
155,ALTON,62,155,9672
156,ALVA,36,156,5652
157,ALVARO,69,157,10902
158,ALVERA,59,158,9381
159,ALVERTA,79,159,12640
160,ALVIN,58,160,9338
161,ALVINA,59,161,9558
162,ALYCE,46,162,7498
163,ALYCIA,51,163,8364
164,ALYSA,58,164,9570
165,ALYSE,62,165,10292
166,ALYSHA,66,166,11022
167,ALYSIA,67,167,11256
168,ALYSON,86,168,14534
169,ALYSSA,77,169,13090
170,AMADA,20,170,3420
171,AMADO,34,171,5848
172,AMAL,27,172,4671
173,AMALIA,37,173,6438
174,AMANDA,34,174,5950
175,AMBER,39,175,6864
176,AMBERLY,76,176,13452
177,AMBROSE,73,177,12994
178,AMEE,24,178,4296
179,AMELIA,41,179,7380
180,AMERICA,50,180,9050
181,AMI,23,181,4186
182,AMIE,28,182,5124
183,AMIEE,33,183,6072
184,AMINA,38,184,7030
185,AMIRA,42,185,7812
186,AMMIE,41,186,7667
187,AMOS,48,187,9024
188,AMPARO,64,188,12096
189,AMY,39,189,7410
190,AN,15,190,2865
191,ANA,16,191,3072
192,ANABEL,35,192,6755
193,ANALISA,57,193,11058
194,ANAMARIA,58,194,11310
195,ANASTACIA,69,195,13524
196,ANASTASIA,85,196,16745
197,ANDERA,43,197,8514
198,ANDERSON,90,198,17910
199,ANDRA,38,199,7600
200,ANDRE,42,200,8442
201,ANDREA,43,201,8686
202,ANDREAS,62,202,12586
203,ANDREE,47,203,9588
204,ANDRES,61,204,12505
205,ANDREW,65,205,13390
206,ANDRIA,47,206,9729
207,ANDY,44,207,9152
208,ANETTE,65,208,13585
209,ANGEL,39,209,8190
210,ANGELA,40,210,8440
211,ANGELE,44,211,9328
212,ANGELENA,59,212,12567
213,ANGELES,63,213,13482
214,ANGELIA,49,214,10535
215,ANGELIC,51,215,11016
216,ANGELICA,52,216,11284
217,ANGELIKA,60,217,13080
218,ANGELINA,63,218,13797
219,ANGELINE,67,219,14740
220,ANGELIQUE,91,220,20111
221,ANGELITA,69,221,15318
222,ANGELLA,52,222,11596
223,ANGELO,54,223,12096
224,ANGELYN,78,224,17550
225,ANGIE,36,225,8136
226,ANGILA,44,226,9988
227,ANGLA,35,227,7980
228,ANGLE,39,228,8931
229,ANGLEA,40,229,9200
230,ANH,23,230,5313
231,ANIBAL,39,231,9048
232,ANIKA,36,232,8388
233,ANISA,44,233,10296
234,ANISHA,52,234,12220
235,ANISSA,63,235,14868
236,ANITA,45,236,10665
237,ANITRA,63,237,14994
238,ANJA,26,238,6214
239,ANJANETTE,90,239,21600
240,ANJELICA,55,240,13255
241,ANN,29,241,7018
242,ANNA,30,242,7290
243,ANNABEL,49,243,11956
244,ANNABELL,61,244,14945
245,ANNABELLE,66,245,16236
246,ANNALEE,52,246,12844
247,ANNALISA,71,247,17608
248,ANNAMAE,49,248,12201
249,ANNAMARIA,72,249,18000
250,ANNAMARIE,76,250,19076
251,ANNE,34,251,8568
252,ANNELIESE,84,252,21252
253,ANNELLE,63,253,16002
254,ANNEMARIE,80,254,20400
255,ANNETT,74,255,18944
256,ANNETTA,75,256,19275
257,ANNETTE,79,257,20382
258,ANNICE,46,258,11914
259,ANNIE,43,259,11180
260,ANNIKA,50,260,13050
261,ANNIS,57,261,14934
262,ANNITA,59,262,15517
263,ANNMARIE,75,263,19800
264,ANTHONY,97,264,25705
265,ANTIONE,78,265,20748
266,ANTIONETTE,123,266,32841
267,ANTOINE,78,267,20904
268,ANTOINETTE,123,268,33087
269,ANTON,64,269,17280
270,ANTONE,69,270,18699
271,ANTONETTA,110,271,29920
272,ANTONETTE,114,272,31122
273,ANTONIA,74,273,20276
274,ANTONIETTA,119,274,32725
275,ANTONINA,88,275,24288
276,ANTONIO,88,276,24376
277,ANTONY,89,277,24742
278,ANTWAN,73,278,20367
279,ANYA,41,279,11480
280,APOLONIA,83,280,23323
281,APRIL,56,281,15792
282,APRYL,72,282,20376
283,ARA,20,283,5680
284,ARACELI,49,284,13965
285,ARACELIS,68,285,19448
286,ARACELY,65,286,18655
287,ARCELIA,49,287,14112
288,ARCHIE,44,288,12716
289,ARDATH,52,289,15080
290,ARDELIA,50,290,14550
291,ARDELL,52,291,15184
292,ARDELLA,53,292,15529
293,ARDELLE,57,293,16758
294,ARDEN,42,294,12390
295,ARDIS,51,295,15096
296,ARDITH,60,296,17820
297,ARETHA,53,297,15794
298,ARGELIA,53,298,15847
299,ARGENTINA,89,299,26700
300,ARIANA,44,300,13244
301,ARIANE,48,301,14496
302,ARIANNA,58,302,17574
303,ARIANNE,62,303,18848
304,ARICA,32,304,9760
305,ARIE,33,305,10098
306,ARIEL,45,306,13815
307,ARIELLE,62,307,19096
308,ARLA,32,308,9888
309,ARLEAN,51,309,15810
310,ARLEEN,55,310,17105
311,ARLEN,50,311,15600
312,ARLENA,51,312,15963
313,ARLENE,55,313,17270
314,ARLETHA,65,314,20475
315,ARLETTA,77,315,24332
316,ARLETTE,81,316,25677
317,ARLIE,45,317,14310
318,ARLINDA,59,318,18821
319,ARLINE,59,319,18880
320,ARLYNE,75,320,24075
321,ARMAND,51,321,16422
322,ARMANDA,52,322,16796
323,ARMANDINA,75,323,24300
324,ARMANDO,66,324,21450
325,ARMIDA,46,325,14996
326,ARMINDA,60,326,19620
327,ARNETTA,79,327,25912
328,ARNETTE,83,328,27307
329,ARNITA,63,329,20790
330,ARNOLD,64,330,21184
331,ARNOLDO,79,331,26228
332,ARNULFO,87,332,28971
333,ARON,48,333,16032
334,ARRON,66,334,22110
335,ART,39,335,13104
336,ARTHUR,86,336,28982
